Wavelength BadBandList E_dir E_dif 
0.3824999928474426 False 300.478790376478 212.9992518142888 
0.38580000400543213 False 315.8779743270189 217.42121279194265 
0.38920000195503235 False 365.743126116136 245.06081890055253 
0.39250001311302185 False 347.6674391883116 227.31810206082332 
0.39590001106262207 False 362.78365866404687 230.5972590654141 
0.3993000090122223 False 524.8424919298664 325.09361994537096 
0.4025999903678894 False 623.365622336674 377.5530689414144 
0.4059999883174896 False 603.3805220027882 356.96076974260757 
0.40939998626708984 False 597.5096566859927 345.31662734017596 
0.41269999742507935 False 619.3019474804869 349.75314565770327 
0.41609999537467957 False 647.4313812956863 357.72579907017746 
0.4194999933242798 False 653.9794888412042 353.6245963908292 
0.42289999127388 False 659.5485137548472 349.2791177768337 
0.4262000024318695 False 649.1813744695082 336.87497475890757 
0.4296000003814697 False 590.2041443581327 300.2261808479874 
0.43299999833106995 False 634.9343758558673 316.4256012230793 
0.43630000948905945 True 695.6450302324631 340.2207005155242 
0.43970000743865967 True 727.5468329571196 349.15080683896065 
0.4431000053882599 True 787.5156402262174 371.00989959975425 
0.446399986743927 True 807.9123510563411 373.83070938538276 
0.4498000144958496 True 860.7130598343838 391.4586972757452 
0.45320001244544983 True 866.8841722072161 387.672006762519 
0.45660001039505005 True 889.5342765745831 391.1188088942042 
0.45989999175071716 True 894.5501959402973 386.874352239814 
0.4632999897003174 True 902.8514245258382 384.20272000575824 
0.4666999876499176 True 888.3811664219122 372.05197946725116 
0.4700999855995178 True 893.0719409226326 368.03905887089695 
0.47350001335144043 True 920.2373412798102 373.16614845497656 
0.47690001130104065 True 934.6053531941046 372.942860434085 
0.48019999265670776 True 944.1879483914877 371.6340661414156 
0.483599990606308 True 915.3053907058687 355.62899689203607 
0.4869999885559082 True 862.2680217945943 330.30666046202793 
0.4903999865055084 True 913.1723206919216 345.0007836346283 
0.49380001425743103 True 924.5221037406187 344.5784701076749 
0.49720001220703125 True 927.5481043786209 341.12461006496517 
0.5005999803543091 True 901.792189492648 327.1957681228391 
0.5040000081062317 True 915.2270356300007 327.37414312125566 
0.5073999762535095 True 938.430007043218 331.53356323121716 
0.5108000040054321 True 919.569921786059 321.04826108620546 
0.51419997215271 True 891.7476078510749 307.6551013300277 
0.5175999999046326 True 842.0858443880006 286.9785968751273 
0.5210000276565552 True 886.3382942231507 298.377811895782 
0.524399995803833 True 905.0025710629551 301.04020584700754 
